@type xydy 
0 -2.19736 0.846933
0.01 -3.2352 3.29908
0.02 3.74555 2.88643
0.03 19.5655 1.78008
0.04 34.1783 5.04908
0.05 39.3838 5.03308
0.06 35.2 3.03561
0.07 25.7297 3.08222
0.08 15.0919 4.88649
0.09 5.90424 5.6525
0.1 -0.717519 5.43411
0.11 -4.67238 4.67897
0.12 -6.38703 3.59948
0.13 -6.47349 3.18481
0.14 -5.53224 3.53491
0.15 -4.0608 4.04021
0.16 -2.42668 4.44866
0.17 -0.874429 4.70617
0.18 0.452735 4.79288
0.19 1.48758 4.68021
0.2 2.21548 4.36325
0.21 2.65522 3.92374
0.22 2.84441 3.51327
0.23 2.82903 3.23144
0.24 2.65658 3.07775
0.25 2.37169 3.01681
0.26 2.01378 3.0248
0.27 1.61604 3.0878
0.28 1.20517 3.19002
0.29 0.801804 3.31054
&
