# cn     En
1     0.8
0.00923244     18.683
0.000741318     23.2257
0.00916926     45.9213
0.00428726     39.435
0.0015403     44.9386
0.00412197     25.9047
0.00240427     12.7977
0.00330496     45.1382
0.00752186     22.2299
0.00424485     49.3568
0.00960301     4.52695
0.00100506     10.0608
0.0058539     27.7153
0.00366516     47.1886
0.002807     1.91887
0.00346506     32.4897
3.10037e-05     43.3784
0.00147697     2.30131
0.00498605     3.24972
0.00399489     37.0417
0.00282926     27.635
0.00794085     26.414
0.00642274     10.4036
0.00396687     49.9368
0.000629061     6.33923
0.00164741     31.3869
0.00331424     47.8603
0.00398383     31.7262
0.00276176     14.6417
0.00821171     43.3165
0.00492366     33.0131
0.00904658     12.0193
0.00740547     5.36721
0.00689435     42.4249
0.00427875     48.3589
0.00363299     19.1326
0.00282232     19.4583
0.00584377     18.7204
0.00812086     15.5415
0.00771071     34.6706
0.00299945     5.45039
0.00812437     14.0594
0.00673012     28.7703
0.00285032     39.8028
0.00921115     44.8216
0.00766319     45.4248
0.00956865     37.2285
0.00106426     6.60204
0.00882977     16.365
0.00415159     8.43
0.00732742     35.7338
0.0013282     7.08751
0.00358419     31.9486
0.00598233     5.79091
0.00817728     6.7743
0.00702303     43.1436
0.00996493     26.3824
0.0091242     40.813
0.00538326     49.3495
0.00139471     35.1613
0.00500974     5.01623
0.00119681     10.773
0.00929892     45.3207
0.00591702     38.409
0.00568012     38.042
0.00691021     30.287
0.00639729     48.8376
0.00110829     26.0988
0.00784329     18.4029
0.00845913     39.2992
0.00029396     17.6132
0.00402852     37.2804
0.00890834     35.935
0.00211374     33.8718
8.17162e-05     20.6703
0.00656238     49.7505
0.00471131     33.835
0.00811197     42.7453
0.00167539     24.8643
0.00933979     43.2524
0.00571638     29.7006
0.00129772     4.01975
0.00463118     13.1553
0.00274782     46.4273
0.00897741     47.9661
0.00888806     18.459
0.00276281     7.84214
0.000732268     34.1372
0.00728436     32.6373
0.0063578     39.7413
0.00744538     46.9889
0.00168584     36.683
0.00441217     28.6945
0.00957193     29.3935
0.0092173     22.1548
0.00617214     28.6842
0.00714559     14.5635
0.00621948     26.7014
0.00557879     48.5155
0.00870873     35.2096
0.00510637     8.16077
0.00124811     27.7787
0.000695829     15.1698
0.00225307     1.6969
0.00391653     18.2552
0.00494344     33.4636
0.00510147     44.7156
0.00205416     30.4529
0.00331667     19.0923
0.00927176     16.2169
0.00239729     15.9654
0.00678291     34.2857
0.00304388     5.14072
0.00171462     31.2637
0.00106654     6.62325
3.36218e-06     24.9909
0.00335827     48.5903
0.00834685     45.8492
0.00789302     22.0167
0.000922988     14.0699
0.00444072     7.28868
0.00437972     40.6473
0.0036936     47.6309
0.00856939     7.06529
0.00161229     46.3932
0.00617496     18.5409
0.00884005     31.1037
0.00804127     42.4186
0.0034073     24.1216
0.00490927     11.4343
0.00674307     45.2193
0.00910415     2.5005
0.00128914     26.2152
0.00832339     11.3713
0.00257307     23.9056
0.000546962     7.47457
0.00624763     14.0002
0.00839293     46.2549
0.0026103     13.0474
0.00915475     42.9328
0.00772773     47.7849
0.00194524     13.3737
0.00603421     44.9128
0.00458911     4.35786
0.00981435     13.6659
0.0087655     10.6973
0.0032077     11.7911
0.00590406     13.9963
0.0039309     37.6341
0.000864687     6.11842
0.00193224     22.2917
0.00877704     10.7999
0.00417009     35.9306
0.0010788     18.7122
0.00494374     14.3903
0.00761357     26.8448
0.00174764     15.5277
0.00408316     16.001
0.00962221     25.3057
0.00693072     13.1803
0.00056272     43.3267
0.0056539     43.8934
0.0018988     20.5044
0.0049396     42.1541
0.00879071     46.436
0.00286215     44.0946
0.00774863     3.78603
0.00642255     47.1894
0.00798512     39.2203
0.00399205     18.4056
0.00531002     38.6258
0.00670909     16.8185
0.00717113     42.6234
0.00969071     44.828
0.00823964     2.17575
0.000192484     14.8673
0.0058863     36.7428
0.00550858     48.4261
0.000510906     28.8004
0.00976469     6.22385
0.00707391     9.57044
0.00661511     41.4355
0.00542769     22.1158
0.00812522     33.3368
0.00688882     24.0339
0.00665086     8.34793
0.00804227     34.3604
0.00763746     30.3165
0.00712831     39.1592
0.00912992     1.69927
0.00445633     49.7079
0.00802006     21.5624
0.00165785     13.5022
0.00403286     20.9773
0.00495324     30.4231
0.00306754     31.5586
0.00848381     42.7129
0.000785084     6.06044
0.00666942     12.9215
0.00124117     36.3048
0.00715206     31.1705
0.00827378     36.1543
0.00644964     38.3375
0.00251738     16.3057
0.00959925     42.7677
0.00192775     24.6872
0.00260815     22.168
0.00391211     21.2987
0.00030802     48.7965
0.00395352     26.7221
0.00692322     7.1963
0.00889219     44.613
0.00201802     7.04387
0.00909974     44.9897
0.00330895     3.11457
0.000464799     17.0575
0.00633255     45.9323
0.00444262     16.7845
0.00966549     3.21131
0.000539116     37.6599
0.00209634     9.51364
0.00948143     6.30032
0.00961807     29.1967
9.02628e-07     31.479
0.00830359     1.2848
0.000942068     16.9689
0.000930325     47.5725
0.00275395     34.0022
0.00205927     33.0775
0.00950822     29.5809
0.00467337     13.9801
0.000520357     9.01291
0.00594066     48.0339
0.00778796     29.4138
0.00619201     14.4089
0.000421682     13.4808
0.00546184     48.5316
0.00357926     17.3085
0.000861797     12.623
0.00758413     27.0253
0.00149266     49.7608
0.0056633     36.416
0.00164028     47.8975
0.00603479     27.4402
0.00742611     26.4667
0.00178154     32.3943
0.00686865     25.2683
0.0096616     12.7814
0.00538097     44.3582
0.00184924     15.333
0.00702801     43.8656
0.000300026     21.0961
0.00609307     41.9593
0.00801115     22.4788
0.00439724     32.0378
0.00811576     26.9669
0.00492129     25.9372
0.00411052     27.8948
0.00231624     41.1097
0.00142805     20.2934
0.00490822     46.1742
0.00204521     11.9037
0.00155181     6.88231
0.00630503     26.3302
0.00231062     22.7416
0.00553878     28.4168
0.00416459     44.6459
0.00700192     48.0023
0.00245209     29.447
0.00870019     45.067
0.002148     23.3626
0.00846129     4.37043
8.87494e-06     10.7581
0.00143352     34.5711
0.00672155     46.2897
0.00642026     39.1241
0.00657685     25.9689
0.00674315     6.87235
0.00762993     17.8384
0.00426506     36.3643
0.00606745     7.64136
0.00686947     44.6157
0.00321514     20.85
0.00818288     45.1816
0.00654629     11.8773
0.00720518     23.1537
0.00227924     47.9909
0.00683993     10.7168
0.00766915     47.0416
0.00506028     3.13641
0.00645417     17.0177
0.00131589     37.556
0.00751694     32.5768
0.0084358     7.53646
0.00923507     24.747
0.00413991     11.3491
0.00422966     15.1292
0.00595452     26.5582
0.0070582     45.8571
0.00579385     39.9241
0.000254959     11.0194
0.0069368     47.139
0.0016399     33.7873
0.00416241     46.3166
0.00488208     42.789
0.00420569     4.71105
0.00521905     6.69802
0.00415674     28.7094
0.0022777     7.53304
0.00513832     24.4938
0.00198687     37.8995
0.00868398     49.0782
0.00841265     19.2016
0.00662408     8.51448
0.00534389     5.08783
0.0073961     27.9368
0.00181932     45.1369
0.000905235     22.9581
0.000178234     41.8239
0.00838252     25.017
0.00364585     31.3563
0.00583293     1.59548
0.0057729     12.2997
0.00625037     45.9559
0.00555592     45.8964
