# Ebin    rho(Ebin)
0.00954543  0.183717
0.0191567  0.191111
0.0243019  0.195154
0.0266496  0.197019
0.0281418  0.19821
0.0314906  0.200902
0.0341762  0.203079
0.0352226  0.203931
0.0467977  0.213526
0.0471897  0.213856
0.0552028  0.220681
0.0572078  0.222412
0.0575485  0.222707
0.0597717  0.224638
0.0661178  0.230211
0.0670044  0.230997
0.067825  0.231726
0.0717477  0.235232
0.0742103  0.23745
0.0744448  0.237662
0.0795017  0.242263
0.0850935  0.247418
0.0978268  0.259417
0.103928  0.265295
0.104813  0.266154
0.105409  0.266735
0.108781  0.27003
0.110951  0.272164
0.127841  0.289128
0.130439  0.291793
0.138003  0.299635
0.150728  0.313107
0.155397  0.318136
0.169544  0.333652
0.173258  0.337795
0.178489  0.343676
0.184355  0.350337
0.197376  0.365366
0.199545  0.367902
0.206561  0.376164
0.215248  0.386524
0.21705  0.38869
0.217165  0.388828
0.227958  0.401927
0.230564  0.405121
0.230874  0.405502
0.238488  0.414904
0.239091  0.415653
0.239493  0.416152
0.240446  0.417338
0.252876  0.432934
0.25336  0.433548
0.261587  0.444012
0.275618  0.462094
0.279887  0.467651
0.284105  0.473167
0.286934  0.47688
0.291156  0.48244
0.292212  0.483833
0.293648  0.485732
0.299209  0.493107
0.299814  0.493911
0.307971  0.504802
0.310348  0.50799
0.321891  0.523555
0.336343  0.543225
0.341872  0.5508
0.354142  0.56769
0.361914  0.578439
0.364194  0.5816
0.379163  0.602412
0.385918  0.611831
0.387235  0.61367
0.390381  0.618064
0.398296  0.629127
0.402018  0.634332
0.432214  0.676556
0.432831  0.677417
0.43307  0.677751
0.439864  0.687227
0.447421  0.697747
0.451919  0.703996
0.455409  0.708838
0.487609  0.75311
0.494138  0.761978
0.50353  0.774652
0.507732  0.78029
0.510797  0.784388
0.527325  0.806272
0.531165  0.811301
0.531386  0.81159
0.535155  0.816502
0.537181  0.819134
0.545483  0.829846
0.548402  0.833585
0.549623  0.835145
0.552653  0.839004
0.556012  0.843262
0.556893  0.844376
0.557511  0.845156
0.562106  0.850936
0.574274  0.866042
0.574544  0.866375
0.583421  0.877201
0.592499  0.888096
0.59707  0.893513
0.598604  0.895321
0.598725  0.895463
0.605864  0.903798
0.605964  0.903914
0.610373  0.909
0.619878  0.919801
0.631431  0.932621
0.635508  0.937062
0.641741  0.943763
0.648364  0.950768
0.659275  0.962036
0.659434  0.962198
0.660921  0.963706
0.664775  0.967587
0.666335  0.969144
0.67128  0.974035
0.671408  0.974161
0.678921  0.981449
0.678983  0.981508
0.681634  0.984038
0.685406  0.9876
0.693537  0.995129
0.695342  0.996773
0.696559  0.997875
0.705462  1.00579
0.70793  1.00794
0.709285  1.00911
0.709624  1.00941
0.711376  1.01091
0.714149  1.01327
0.71765  1.01622
0.717872  1.0164
0.718899  1.01726
0.721062  1.01905
0.72746  1.02425
0.728415  1.02501
0.739712  1.03383
0.743443  1.03665
0.748981  1.04074
0.750811  1.04207
0.750862  1.04211
0.751524  1.04258
0.752414  1.04322
0.753484  1.04399
0.764132  1.05139
0.766513  1.053
0.767319  1.05353
0.767343  1.05355
0.767759  1.05383
0.77607  1.05923
0.786555  1.06569
0.792252  1.06905
0.797897  1.07225
0.798979  1.07285
0.803856  1.07552
0.805198  1.07623
0.807866  1.07764
0.810684  1.0791
0.81505  1.08131
0.821679  1.08453
0.827901  1.08741
0.829061  1.08793
0.832713  1.08954
0.835757  1.09085
0.859271  1.09986
0.861862  1.10073
0.86639  1.1022
0.878862  1.1059
0.879352  1.10603
0.9053  1.11199
0.909179  1.11269
0.913912  1.11348
0.914394  1.11355
0.914755  1.11361
0.919975  1.11438
0.922364  1.11471
0.922979  1.11479
0.923183  1.11481
0.923235  1.11482
0.92477  1.11501
0.939077  1.11647
0.940352  1.11657
0.956869  1.11741
0.958308  1.11745
0.976127  1.11739
0.978125  1.11732
0.980945  1.11722
0.984459  1.11705
0.984614  1.11704
0.98999  1.11673
0.991789  1.1166
1.00272  1.11567
1.00535  1.11541
1.00713  1.11521
1.01707  1.11399
1.01965  1.11364
1.02868  1.11227
1.03063  1.11195
1.03397  1.11138
1.04856  1.10862
1.0504  1.10824
1.05211  1.10787
1.05408  1.10745
1.05445  1.10737
1.06039  1.10604
1.06717  1.10444
1.0677  1.10432
1.07778  1.10177
1.08192  1.10067
1.08197  1.10065
1.08237  1.10055
1.08492  1.09985
1.08924  1.09865
1.09213  1.09783
1.09527  1.09692
1.09798  1.09613
1.10059  1.09535
1.1112  1.09208
1.11687  1.09027
1.1189  1.08961
1.12562  1.08738
1.12731  1.08681
1.12987  1.08595
1.1317  1.08532
1.14088  1.08212
1.14266  1.0815
1.14276  1.08146
1.1446  1.0808
1.15166  1.07825
1.15264  1.07789
1.15887  1.07559
1.16277  1.07414
1.16431  1.07356
1.16546  1.07312
1.17358  1.07003
1.17555  1.06927
1.18407  1.06596
1.18501  1.06559
1.18762  1.06456
1.18916  1.06395
1.18959  1.06378
1.18964  1.06376
1.19741  1.06067
1.21002  1.05559
1.21334  1.05423
1.21392  1.054
1.21793  1.05236
1.21862  1.05208
1.2289  1.04785
1.23006  1.04737
1.2584  1.03562
1.26864  1.03136
1.26905  1.03119
1.26995  1.03082
1.29145  1.02193
1.29543  1.02029
1.29596  1.02007
1.29688  1.01969
1.29809  1.0192
1.30605  1.01595
1.30933  1.01462
1.31282  1.01321
1.313  1.01313
1.31389  1.01277
1.31484  1.01239
1.31511  1.01228
1.32713  1.00747
1.3309  1.00597
1.33329  1.00503
1.33698  1.00358
1.34152  1.0018
1.34607  1.00003
1.35286  0.997416
1.35781  0.995528
1.36182  0.99401
1.36245  0.993773
1.37377  0.989552
1.3781  0.987963
1.38007  0.987246
1.3814  0.986763
1.3908  0.983387
1.39571  0.981651
1.39709  0.981167
1.39874  0.980588
1.40183  0.979515
1.40529  0.978322
1.41731  0.974257
1.41798  0.974034
1.42075  0.973118
1.42204  0.972693
1.42418  0.971991
1.44108  0.966606
1.44213  0.966281
1.4451  0.965365
1.44783  0.96453
1.4519  0.9633
1.45993  0.96092
1.46121  0.960546
1.4614  0.960493
1.4625  0.960172
1.46897  0.958318
1.47417  0.956856
1.47828  0.955724
1.48673  0.953443
1.49258  0.951908
1.49746  0.950653
1.5051  0.94874
1.5064  0.948419
1.50785  0.948067
1.51052  0.947418
1.51628  0.946048
1.52368  0.944338
1.52398  0.944269
1.52408  0.944246
1.53693  0.941414
1.53726  0.941343
1.53946  0.940877
1.54318  0.940098
1.54949  0.938811
1.55842  0.937055
1.56641  0.935555
1.57044  0.934822
1.57485  0.93404
1.57744  0.933589
1.58456  0.932383
1.58933  0.931602
1.60192  0.92965
1.60298  0.929493
1.6103  0.928435
1.62639  0.926283
1.6266  0.926257
1.64054  0.924586
1.64899  0.923656
1.65054  0.923493
1.65297  0.92324
1.65762  0.92277
1.66847  0.921744
1.66964  0.921639
1.67138  0.921485
1.67672  0.921028
1.68205  0.920594
1.68355  0.920476
1.68599  0.920287
1.69982  0.919305
1.70073  0.919245
1.73189  0.917551
1.73211  0.917542
1.73251  0.917524
1.74716  0.916955
1.74816  0.916921
1.74853  0.916908
1.7593  0.916582
1.77031  0.916315
1.77069  0.916307
1.78153  0.916111
1.78483  0.916064
1.78766  0.916027
1.79288  0.91597
1.79793  0.915927
1.80159  0.915904
1.80273  0.915898
1.81683  0.915869
1.83266  0.915935
1.83981  0.915995
1.84332  0.916032
1.84502  0.916051
1.85228  0.916144
1.85839  0.916236
1.86287  0.91631
1.87605  0.916563
1.88296  0.916714
1.88335  0.916723
1.88383  0.916734
1.88448  0.916749
1.89937  0.91712
1.90019  0.917142
1.90332  0.917227
1.90401  0.917246
1.90606  0.917303
1.91039  0.917426
1.91184  0.917467
1.929  0.917992
1.94404  0.918489
1.95076  0.91872
1.95135  0.918741
1.97106  0.919447
1.98015  0.919783
1.99495  0.920341
2.00411  0.92069
2.01679  0.921176
2.0174  0.9212
2.02656  0.921552
2.03179  0.921753
2.03378  0.921829
2.03743  0.921969
2.05076  0.922477
2.05483  0.922631
2.05667  0.9227
2.06164  0.922886
2.06409  0.922978
2.0641  0.922978
2.07441  0.92336
2.07477  0.923373
2.08429  0.923719
2.08649  0.923799
2.08874  0.923879
2.09309  0.924034
2.09552  0.92412
2.10008  0.92428
2.10033  0.924288
2.10075  0.924303
2.10905  0.924589
2.11454  0.924774
2.11461  0.924777
2.12193  0.92502
2.12907  0.925252
2.13191  0.925342
2.13981  0.92559
2.14578  0.925773
2.15082  0.925924
2.15865  0.926153
2.16143  0.926233
2.16149  0.926234
2.16844  0.926429
2.17042  0.926483
2.17167  0.926517
2.17384  0.926576
2.17695  0.926659
2.18292  0.926815
2.18301  0.926817
2.18578  0.926888
2.19076  0.927012
2.19712  0.927167
2.1975  0.927176
2.211  0.927484
2.21324  0.927533
2.21645  0.927602
2.22893  0.927855
2.23218  0.927917
2.2327  0.927927
2.23653  0.927998
2.23858  0.928035
2.24324  0.928118
2.24456  0.928141
2.24664  0.928176
2.24723  0.928186
2.25552  0.92832
2.26104  0.928404
2.26136  0.928409
2.26595  0.928475
2.26887  0.928515
2.30808  0.928936
2.31056  0.928955
2.31063  0.928956
2.31686  0.929
2.31804  0.929008
2.31812  0.929008
2.32523  0.92905
2.32665  0.929058
2.32697  0.929059
2.3332  0.929089
2.34411  0.929126
2.34445  0.929127
2.34799  0.929136
2.34842  0.929137
2.35617  0.929149
2.36203  0.929152
2.36276  0.929152
2.37247  0.929146
2.37461  0.929143
2.37588  0.929141
2.38751  0.929111
2.39135  0.929097
2.39762  0.92907
2.39919  0.929063
2.4071  0.92902
2.40935  0.929006
2.41227  0.928987
2.41231  0.928987
2.42282  0.92891
2.42619  0.928882
2.42959  0.928853
2.43083  0.928841
2.44057  0.928747
2.4451  0.9287
2.44612  0.928688
2.44917  0.928654
2.44922  0.928654
2.44983  0.928647
2.45092  0.928634
2.45662  0.928566
2.46381  0.928475
2.46793  0.92842
2.47079  0.92838
2.47231  0.928359
2.47295  0.92835
2.47305  0.928348
2.47872  0.928266
2.4812  0.928228
2.48694  0.928139
2.49437  0.928018
2.49512  0.928005
2.50556  0.927823
2.50662  0.927804
2.5071  0.927795
2.50975  0.927746
2.51383  0.92767
2.51635  0.927622
2.5321  0.927305
2.53896  0.927158
2.53955  0.927145
2.55052  0.9269
2.55325  0.926837
2.55541  0.926786
2.5621  0.926627
2.56296  0.926606
2.57024  0.926426
2.57545  0.926294
2.57871  0.92621
2.579  0.926202
2.58386  0.926075
2.58458  0.926056
2.58477  0.926051
2.58484  0.926049
2.59652  0.925731
2.59922  0.925656
2.60584  0.925468
2.62025  0.925043
2.64163  0.924375
2.64352  0.924314
2.65375  0.923975
2.65929  0.923788
2.65931  0.923787
2.66084  0.923735
2.66333  0.923649
2.67859  0.923111
2.67967  0.923072
2.67985  0.923065
2.67996  0.923061
2.69559  0.922484
2.69905  0.922353
2.69907  0.922352
2.69937  0.92234
2.70689  0.922051
2.70895  0.92197
2.71197  0.921852
2.71462  0.921747
2.71768  0.921625
2.72139  0.921476
2.72456  0.921347
2.73513  0.920911
2.73547  0.920898
2.74163  0.920638
2.75951  0.919862
2.76426  0.91965
2.76529  0.919604
